ID,Formula,Rater1,Rater2,Consensus
1,X a => X c,1,1,1
2,X b => !X d,1,1,1
3,a & X b,1,1,1
4,b | !X a,1,1,1
5,X a & b,1,0,0
6,X !b & d,1,1,1
7,a U c,1,1,1
8,b U !d,1,1,1
9,(c & b) U a,1,1,1
10,(d | !b) U !a,1,1,1
11,a U (b & c),1,1,1
12,b U (a | d),1,1,1
13,(c U a) & (b U a),1,1,1
14,(d U c) | (a U !c),1,0,0
15,G a,1,1,1
16,F !b,1,1,1
17,!G c,1,1,1
18,!F (a & b),1,1,1
19,F (!y & w),1,1,1
20,G t | F w,1,1,1
21,X (t & y),1,1,1
22,!X !(w | x),1,1,1
23,t => w,0,0,0
24,t => (x & y),0,1,0
25,!X t,1,1,1
26,X t => X y,1,1,1
27,X (t | w),1,1,1
28,X (y => x & w),1,1,1
29,F x | F y,1,1,1
30,X a & !G b,1,1,1
31,d & X (c U a),1,1,1
32,(b | !a) & X (d U c),1,1,1
33,(b U c) & (d U !b),1,1,1
34,G (!f | !i),1,1,1
35,F (f => j),1,1,1
36,G (j => !f),1,1,1
37,G (!i) | F (f U i),1,1,1
38,(a U b) & (c U d),1,1,1
39,b U (d & a),1,1,1
40,F (o | u),1,1,1
41,G (n => s),1,1,1
42,(y & !d) | (y => d),1,1,1
43,X (f & i),1,1,1
44,X(!g | !j),1,1,1
45,X (!i) | X (j),1,1,1
46,F d | G !n,1,1,1
47,a U (c & d),1,1,1
48,b & X (a U c),1,1,1
49,X !(t | w),1,1,1
50,F (o U u),1,1,1
51,a -> XXXa,0,0,0
52,XXFXa,1,0,0
53,Fa -> Gb,1,1,1
54,(a U b) and G(a),1,1,1
55,G(a -> (X!a and XXa)),1,1,1
56,(!a)U(a and XG!a),1,1,1
57,Fa and G(a -> XG!a),1,1,1
58,!F(a and Xa and XXa),1,1,1
59,G((a and Xa) -> XX!a),1,1,1
60,G(a -> Fb),1,1,1
61,a U G!a,1,1,1
62,a,1,1,1
63,XXXa,1,1,1
64,G(a -> XXXa),1,1,1
65,Xa U Xb,1,1,1
66,Fa and Fb,1,1,1
67,XXFa,1,1,1
68,a U b,1,1,1
69,FGa,1,1,1
70,G(a->b),1,1,1
71,G(a and !b),1,1,1
72,G !a,1,1,1
73,F a,1,1,1
74,G(a or b),1,1,1
75,F(a and b),1,1,1
76,G(a -> X!b),1,1,1
77,a U !a,1,1,1